CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income,Card_Category,Months_on_book,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio
7.69E+08,Existing Customer,45,1,3,4,2,75171,1,39,12691,777,11914,1144,42,0.061
8.19E+08,Existing Customer,49,2,5,3,3,25686,1,44,8256,864,7392,1291,33,0.105
7.14E+08,Existing Customer,51,1,3,3,2,109348,1,36,3418,0,3418,1887,20,0
7.70E+08,Existing Customer,40,2,4,4,4,39617,1,34,3313,2517,796,1171,20,0.76
7.09E+08,Existing Customer,40,1,3,6,2,61236,1,21,4716,0,4716,816,28,0
7.13E+08,Existing Customer,44,1,2,3,2,43759,1,36,4010,1247,2763,1088,24,0.311
8.10E+08,Existing Customer,51,1,4,7,2,131068,2,46,34516,2264,32252,1330,31,0.066
8.19E+08,Existing Customer,32,1,0,4,4,66199,4,27,29081,1396,27685,1538,36,0.048
7.11E+08,Existing Customer,37,1,3,6,3,73508,1,36,22352,2517,19835,1350,24,0.113
7.20E+08,Existing Customer,48,1,2,3,3,95800,1,36,11656,1677,9979,1441,32,0.144
7.09E+08,Existing Customer,42,1,5,6,4,132099,1,31,6748,1467,5281,1201,42,0.217
7.11E+08,Existing Customer,65,1,1,7,2,51510,1,54,9095,1587,7508,1314,26,0.174
7.11E+08,Existing Customer,56,1,1,1,3,119225,1,36,11751,0,11751,1539,17,0
8.16E+08,Existing Customer,35,1,3,3,4,68313,1,30,8547,1666,6881,1311,33,0.195
7.12E+08,Existing Customer,57,2,2,3,2,29468,1,48,2436,680,1756,1570,29,0.279
7.15E+08,Existing Customer,44,1,4,7,4,108470,1,37,4234,972,3262,1348,27,0.23
7.10E+08,Existing Customer,48,1,4,5,3,87039,1,36,30367,2362,28005,1671,27,0.078
7.53E+08,Existing Customer,41,1,3,7,2,110040,1,34,13535,1291,12244,1028,21,0.095
8.06E+08,Existing Customer,61,1,1,4,2,54929,1,56,3193,2517,676,1336,30,0.788
7.09E+08,Existing Customer,45,2,2,3,2,33353,1,37,14470,1157,13313,1207,21,0.08
8.06E+08,Existing Customer,47,1,1,2,1,74010,1,42,20979,1800,19179,1178,27,0.086
7.09E+08,Attrited Customer,62,2,0,3,2,39582,1,49,1438.3,0,1438.3,692,16,0
7.85E+08,Existing Customer,41,1,3,4,2,43024,1,33,4470,680,3790,931,18,0.152
8.12E+08,Existing Customer,47,2,4,7,3,22189,1,36,2492,1560,932,1126,23,0.626
7.89E+08,Existing Customer,54,1,2,7,2,93085,1,42,12217,0,12217,1110,21,0
7.71E+08,Existing Customer,41,2,3,3,3,35543,1,28,7768,1669,6099,1051,22,0.215
7.20E+08,Existing Customer,59,1,1,4,4,40704,1,46,14784,1374,13410,1197,23,0.093
8.04E+08,Existing Customer,63,1,1,7,2,66757,1,56,10215,1010,9205,1904,40,0.099
7.19E+08,Existing Customer,44,2,3,6,3,25086,1,34,10100,0,10100,1052,18,0
8.07E+08,Existing Customer,47,1,4,4,2,42730,1,42,4785,1362,3423,1045,38,0.285
7.78E+08,Existing Customer,53,1,3,7,2,104777,1,33,2753,1811,942,1038,25,0.658
7.13E+08,Existing Customer,53,1,2,6,2,61782,1,48,2451,1690,761,1596,26,0.69
7.09E+08,Existing Customer,41,1,4,3,2,75746,1,36,8923,2517,6406,1589,24,0.282
7.89E+08,Existing Customer,53,2,2,1,2,24872,1,38,2650,1490,1160,1411,28,0.562
7.88E+08,Existing Customer,58,1,0,3,2,98290,1,49,12555,1696,10859,1291,24,0.135
7.15E+08,Existing Customer,55,2,1,1,3,39540,1,36,3520,1914,1606,1407,43,0.544
7.14E+08,Existing Customer,55,2,3,3,2,26096,1,36,3035,2298,737,1877,37,0.757
7.85E+08,Existing Customer,42,2,4,4,2,21614,2,36,15433,0,15433,966,22,0
7.15E+08,Existing Customer,57,2,1,3,4,56956,1,49,3672,886,2786,1464,28,0.241
7.08E+08,Attrited Customer,66,2,0,2,2,57651,1,56,7882,605,7277,704,16,0.077
8.27E+08,Existing Customer,45,1,3,3,3,95867,1,41,32426,578,31848,1109,28,0.018
7.59E+08,Existing Customer,51,1,2,7,2,49063,1,44,6205,2204,4001,1347,28,0.355
7.73E+08,Existing Customer,50,2,1,1,3,50809,4,43,17304,2517,14787,1756,33,0.145
7.78E+08,Existing Customer,49,1,3,4,2,66100,1,37,3906,0,3906,1756,32,0
7.21E+08,Existing Customer,38,2,4,3,3,58294,1,28,9830,2055,7775,1042,23,0.209
7.13E+08,Existing Customer,49,1,4,6,3,93318,1,30,34516,0,34516,1444,28,0
7.89E+08,Existing Customer,56,1,2,2,2,61424,1,45,2283,1430,853,1741,27,0.626
7.38E+08,Existing Customer,59,1,1,2,2,46729,1,52,2548,2020,528,1719,27,0.793
8.00E+08,Existing Customer,46,1,3,4,2,94146,1,40,19458,1435,18023,1217,27,0.074
7.71E+08,Existing Customer,52,1,1,1,3,91840,1,40,4745,1227,3518,1140,40,0.259
7.21E+08,Existing Customer,52,2,3,7,2,34936,1,41,2622,1549,1073,1878,30,0.591
7.79E+08,Attrited Customer,54,2,1,3,2,23985,1,40,1438.3,808,630.3,705,19,0.562
7.12E+08,Existing Customer,66,2,0,4,2,37655,1,54,3171,2179,992,1946,38,0.687
7.13E+08,Existing Customer,49,1,2,7,2,121251,1,36,19763,2517,17246,1414,35,0.127
7.14E+08,Attrited Customer,56,1,2,3,2,143342,1,36,15769,0,15769,602,15,0
7.18E+08,Existing Customer,49,2,4,3,4,22588,1,36,3298,2200,1098,1052,32,0.667
7.17E+08,Existing Customer,49,2,3,3,3,23307,1,36,2802,2363,439,1295,40,0.843
7.69E+08,Existing Customer,56,1,2,6,2,44451,1,50,4458,1880,2578,1424,29,0.422
7.11E+08,Existing Customer,44,2,5,3,2,35861,1,35,6273,978,5295,1359,25,0.156
